,att_map_x,att_map_y,vic_map_x,vic_map_y,round,winner_team,team_num
60,522.2113558150878,296.04853420195445,389.7216697376978,226.86482084690556,9,Ts win,Team 1
61,307.9246694125298,488.0401465798045,308.0353349230436,469.86178067318133,9,Ts win,Team 1
62,290.86706048124864,449.85298588490775,308.7649035334923,474.82706297502716,9,Ts win,Team 1
63,304.9411987860395,274.9593919652551,269.59261868632126,276.13593919652556,9,Ts win,Team 1
64,676.1621504443963,228.89690553745925,712.2415727292434,253.67171552660147,9,Ts win,Team 1
65,895.4322295686104,325.6565960912052,676.1621504443963,234.79554831704672,9,Ts win,Team 1
66,703.2596601994363,647.234052660152,676.733497723824,606.5746878393052,10,Ts win,Team 1
67,761.6389686754824,291.0563517915309,689.9401148926945,266.33224755700326,10,Ts win,Team 1
68,649.86937052894,256.91655808903363,626.9192363971385,227.80114006514657,10,Ts win,Team 1
69,635.3775065033601,289.2273072747014,893.5374756123997,104.75173724212812,10,Ts win,Team 1
70,847.3896867548233,147.97079261672093,834.2128766529373,489.4054017372421,10,Ts win,Team 1
71,794.6734500325168,235.89853420195436,654.6939694884023,257.53604777415853,10,Ts win,Team 1
72,702.5688814220681,561.1202090119435,855.4930901799263,599.9776058631921,11,Ts win,Team 1
73,262.69978864079775,484.5833061889251,275.9618740515933,513.372095548317,11,Ts win,Team 1
74,188.4157001951008,520.6868078175896,308.868686321266,506.46615092290995,11,Ts win,Team 1
75,227.03557879904616,235.457220412595,101.44710600476913,370.0465255157437,11,Ts win,Team 1
76,113.4698406676783,293.94017372421285,137.34383806633429,200.9146036916395,11,Ts win,Team 1
77,429.50999891610667,314.1030673181325,721.8245583134619,247.05895765472314,11,Ts win,Team 1
78,424.10082917840884,221.42779587404993,425.8135974420117,377.2091748099891,11,Ts win,Team 1
79,835.5615380446565,540.0937296416938,700.8139768046824,575.9311074918567,12,Ts win,Team 1
80,708.8136787340126,582.4746742671009,836.1642911337524,542.1168973941368,12,Ts win,Team 1
81,674.3891583568177,718.0791327361563,477.80114621721225,642.6164495114007,12,Ts win,Team 1
82,853.9404671580317,166.79907709011945,920.7148005636245,349.92597719869707,12,Ts win,Team 1
83,794.9264307392152,231.74147665580892,649.3995840559289,250.4012486427796,12,Ts win,Team 1
84,484.7474257533059,371.01050488599344,473.38621152178627,374.15111292073834,12,Ts win,Team 1
85,511.3639747723824,435.2903365906624,419.785660091047,360.6123507057546,13,CTs win,Team 2
86,420.8187865814004,217.25233441910962,506.09927785605896,603.3075190010858,13,CTs win,Team 2
87,815.9017179709516,627.5364142236699,715.2392017125514,522.166802388708,13,CTs win,Team 2
88,556.4664039636625,424.86843105320304,443.61213554086277,560.7008550488599,13,CTs win,Team 2
89,202.51327769347498,490.7208197611292,264.30660632993715,509.26498371335504,13,CTs win,Team 2
90,560.7994848119445,926.1268865363735,585.5937567743334,821.5484324104234,13,CTs win,Team 2
91,496.3647030132235,947.2811482084691,150.49642315196184,882.0188653637351,13,CTs win,Team 2
92,836.7274008237589,304.1564332247557,853.2439301972686,519.6328447339848,13,CTs win,Team 2
93,466.2378671688706,923.5015743756786,460.75129389768045,371.3998371335505,14,Ts win,Team 1
94,465.12930847604594,924.3394001085776,457.6721154888359,237.17052117263847,14,Ts win,Team 1
95,258.2519510080208,263.0665580890336,80.89865597225233,277.9466340933768,14,Ts win,Team 1
96,426.15074246694127,298.03751357220415,351.2922311944505,245.0992399565689,14,Ts win,Team 1
97,464.39313489052677,225.91878393051036,547.9629592151257,308.3851520086862,14,Ts win,Team 1
98,639.8737331996532,296.5983713355049,597.4862684261868,443.30070575461457,14,Ts win,Team 1
99,632.4582565575547,303.99630836047777,758.4756123997398,230.4020629750271,14,Ts win,Team 1
100,799.4170821591156,196.0967426710098,748.2532110340343,205.65032573289898,15,CTs win,Team 1
101,643.6529034792976,311.9565146579805,849.0484771298504,177.78485342019542,15,CTs win,Team 1
102,628.0683597983958,331.3495114006515,642.4039264036419,222.76465798045604,15,CTs win,Team 1
103,637.8048382289182,305.0573561346363,656.8947742792109,209.97595005428877,15,CTs win,Team 1
104,677.0362020377195,143.51411509229104,627.0057243117277,279.0137350705754,15,CTs win,Team 1
105,786.2649035334923,238.44940282301843,670.0702227400824,143.97318132464716,15,CTs win,Team 1
106,611.1215383156298,422.10730184581973,491.3352685345762,447.8229370249728,15,CTs win,Team 1
107,424.950059614134,276.24315960912054,461.3457619770215,400.67635722041257,16,CTs win,Team 1
108,447.0254511706048,386.30333876221493,477.258285009755,348.22242128121604,16,CTs win,Team 1
109,490.3509714394104,634.7725027144409,500.7223471710384,438.46221498371335,16,CTs win,Team 1
110,575.27281087416,274.52768729641696,550.1197366604907,260.05770901194353,16,CTs win,Team 1
111,885.7214936050293,263.999891422367,548.0754559126382,288.1332247557003,16,CTs win,Team 1
112,452.0425970084544,430.19305103148747,421.19142911337525,459.1994299674267,16,CTs win,Team 1
113,388.18418057663126,234.6837676438654,482.8060914805983,373.1949511400652,16,CTs win,Team 1
114,456.92022544981575,426.7759229098806,456.6310359310644,663.14697339848,17,CTs win,Team 1
115,425.4580668762194,439.5469869706841,366.28399360502925,425.5052388707926,17,CTs win,Team 1
116,252.28517233904185,257.96400651465797,158.50693691740733,335.474565689468,17,CTs win,Team 1
117,615.2480151203122,705.2446729098806,464.29074084110124,647.8461387079262,17,CTs win,Team 1
118,356.5308638629959,435.02141693811075,302.9172718404509,454.69752985884907,17,CTs win,Team 1
119,240.6505527856059,496.59666123778504,295.3092889659658,515.1519272529858,18,Ts win,Team 2
120,240.6505527856059,496.59666123778504,309.74943095599394,513.8551031487514,18,Ts win,Team 2
121,273.22948731844787,480.86199782844733,259.66201495772816,521.675108577633,18,Ts win,Team 2
122,100.78647301105572,440.774674267101,151.60432473444612,473.21004343105324,18,Ts win,Team 2
123,100.97479947973119,459.207111834962,252.62253414264038,508.0992399565689,18,Ts win,Team 2
124,237.49208757858227,490.2190010857763,100.78043030565793,465.44207383279047,18,Ts win,Team 2
125,270.7969054845003,922.8065553745928,299.75555495339256,949.151723669924,18,Ts win,Team 2
126,178.8768426186863,450.0692996742671,120.09782137437676,462.1661509229099,18,Ts win,Team 2
127,458.9412597550401,301.7401194353963,459.866030782571,763.1301230829262,19,Ts win,Team 2
128,451.5773086928246,433.3494571118349,439.6602468567093,626.4200732899023,19,Ts win,Team 2
129,462.9163098851073,621.4793973941369,448.8644591372209,455.5431596091205,19,Ts win,Team 2
130,589.589715884457,452.5538002171553,626.1607549317147,398.1843105320304,19,Ts win,Team 2
131,639.742250162584,312.5524972855592,859.0997181877303,194.1103148751357,19,Ts win,Team 2
132,645.0856614459137,246.40575461454944,473.44571726642096,298.23599348534196,19,Ts win,Team 2
133,430.57379958812055,435.35309446254075,506.53869499241273,655.7971159066233,19,Ts win,Team 2
134,678.4418897680468,723.3895867263843,541.2971180292109,655.1269543973941,19,Ts win,Team 2
135,438.7855991220464,956.0953990228013,462.3387505419467,316.3365363735071,20,Ts win,Team 2
136,510.12382126598743,540.261319218241,386.4561294168654,213.39305103148752,20,Ts win,Team 2
137,486.78459652070234,300.38870792616717,245.01262735746803,265.7380564603692,20,Ts win,Team 2
138,324.30601018859744,274.58213897937026,278.28893886841536,263.7189467969598,20,Ts win,Team 2
139,313.7744146975938,221.91123778501628,282.02243659223933,162.7722041259501,20,Ts win,Team 2
140,448.2033722631693,929.2477741585234,461.470971981357,295.9881107491857,21,Ts win,Team 2
141,519.099460763061,941.7493621064061,700.8683882505961,687.9552117263844,21,Ts win,Team 2
142,529.1679679032084,948.3957111834962,702.5592347712985,684.5528569489685,21,Ts win,Team 2
143,526.534720152287,946.1320439739413,659.8159616843702,715.8297740228013,21,Ts win,Team 2
144,670.8423070669846,541.999457111835,874.3782787773683,473.4745114006515,21,Ts win,Team 2
145,699.7004118794711,679.6813585776331,669.0519049425536,563.9843241042345,21,Ts win,Team 2
146,562.73500162584,442.8995385450597,489.5747683177975,435.84628121606954,22,Ts win,Team 2
147,511.72643548124864,457.40624321389794,592.452908221331,426.8319489685125,22,Ts win,Team 2
148,842.436348363321,179.4766015200869,641.5711779210926,208.4136264929424,22,Ts win,Team 2
149,661.1626788424019,289.38555917480994,831.6764307392152,150.19744842562432,22,Ts win,Team 2
150,433.72115488835897,338.05776330076003,433.55645729460224,225.66802388707924,22,Ts win,Team 2
151,485.36281974853677,315.0702768729642,444.8734419033167,384.84174809989145,22,Ts win,Team 2
152,838.6175482332538,340.09153094462545,871.9205506178192,216.05570032573291,22,Ts win,Team 2
153,843.1191469759376,185.07263843648207,834.667840884457,339.21767100977195,22,Ts win,Team 2
154,696.8060372859311,568.2686074918568,821.2074029915457,517.6454125950054,23,Ts win,Team 2
155,477.3085370149577,384.2255971769815,445.3547853891177,385.96129207383274,23,Ts win,Team 2
156,651.811429655322,267.7167209554832,737.8172962280512,287.1748642779587,23,Ts win,Team 2
157,886.4371070886625,441.1552117263843,811.5241979189248,505.21560803474483,23,Ts win,Team 2
158,848.6439681335356,414.4808903365906,868.1207728159549,166.62470141150925,23,Ts win,Team 2
159,657.1770472035552,221.29576547231272,892.1156243225666,318.2856948968513,23,Ts win,Team 2
160,635.6223376869716,255.1105863192182,704.1951414480815,161.7919652551575,23,Ts win,Team 2
161,891.5982007370475,334.5958469055374,728.5386272490787,239.9346905537459,23,Ts win,Team 2
162,829.1247290266638,217.02551574375684,773.7416946672447,185.13447339847994,23,Ts win,Team 2
163,896.4610611315846,481.47166123778504,750.4363619119879,523.4852605863192,24,Ts win,Team 2
164,636.5117399197919,297.71129207383274,791.7991003685237,249.13621064060806,24,Ts win,Team 2
165,425.1897490786907,293.87415852334414,266.9527693474962,274.1541802388708,24,Ts win,Team 2
166,388.1452281595491,266.24603691639527,822.7908085844352,279.1936482084691,24,Ts win,Team 2
167,251.58522111424236,257.0950597176982,129.37182961196618,338.3987785016286,24,Ts win,Team 2
168,448.12306931497943,501.96777958740495,480.95827010622156,639.104193811075,24,Ts win,Team 2
169,144.80018426186862,348.4332790445168,100.24495989594624,353.3919652551574,25,Ts win,Team 2
170,146.08980056362455,354.51973398479913,101.10324084110124,347.6809174809989,25,Ts win,Team 2
171,510.2815887166703,600.2591476655809,417.3531460004336,275.76487513572204,25,Ts win,Team 2
172,425.6753061998699,316.5593105320304,510.0536459462389,299.1972855591748,25,Ts win,Team 2
173,274.4546932581834,163.56096634093376,158.23016475178844,194.52480998914223,25,Ts win,Team 2
174,99.09185996097985,481.30551031487516,103.66418274441794,431.93336047774153,25,Ts win,Team 2
175,544.103367013061,299.9450054288817,223.22065358768697,264.73458197611296,25,Ts win,Team 2
176,233.84595165835682,216.02909880564607,228.42960112724907,265.54001085776326,25,Ts win,Team 2
177,491.4660673639714,441.20762757871876,615.7013060914805,409.48808360477744,26,Ts win,Team 2
178,641.4100233037069,252.17953311617805,809.8457077823542,257.2906623235614,26,Ts win,Team 2
