,att_map_x,att_map_y,vic_map_x,vic_map_y,round,winner_team,team_num
65,445.1219380013007,265.2517915309446,465.9574436375461,432.23583061889246,10,CTs win,Team 1
66,466.8465139280295,663.857010043431,509.67506909820077,468.4887079261672,10,CTs win,Team 1
67,794.3606655105137,200.08094462540714,646.7887220897463,200.29750271444084,11,CTs win,Team 1
68,795.9762085410796,196.90988056460367,659.7367358551918,197.45928338762212,11,CTs win,Team 1
69,907.1612833297204,351.6913952225841,674.4398168220247,196.75298588490773,11,CTs win,Team 1
70,907.1612833297204,351.6913952225841,641.7675929438543,175.93935939196524,11,CTs win,Team 1
71,624.5446902774767,370.7746471226927,643.1094190331671,276.6096634093377,11,CTs win,Team 1
72,446.46653479297635,839.717460640608,505.7668680901799,441.15667752442994,12,Ts win,Team 2
73,767.424154563191,176.87714440825187,614.0069640147409,364.5569218241043,12,Ts win,Team 2
74,623.498814491654,339.09451682953306,777.7105733795795,176.85488599348537,12,Ts win,Team 2
75,659.3736654563191,263.39462540716613,775.6009782137438,228.15814332247555,12,Ts win,Team 2
76,681.1382234988077,718.635779723127,512.2199219596791,676.0575597176982,12,Ts win,Team 2
77,766.3279319314979,183.4344733984799,781.8045198352482,300.76617806731815,12,Ts win,Team 2
78,626.1120745718621,323.9662323561346,765.8155890960329,232.9554288816504,12,Ts win,Team 2
79,619.3514862887492,317.43607491856676,825.757397572079,253.77877307274696,12,Ts win,Team 2
80,858.5410795577715,632.0729777415852,821.7709733362237,664.6084283387622,13,Ts win,Team 2
81,121.70827010622155,294.73333333333335,233.60353891177107,330.10472312703587,13,Ts win,Team 2
82,208.15767938434857,181.19098805646036,188.1425861695209,326.8509229098805,13,Ts win,Team 2
83,119.89009321482766,369.667453854506,192.87640906134837,166.4694896851248,13,Ts win,Team 2
84,480.2351032408411,372.63080890336596,476.0507329828745,318.08289902280126,13,Ts win,Team 2
85,497.96481749945804,270.56134636264926,468.3140987426837,370.01110206297506,13,Ts win,Team 2
86,192.8114025579883,385.7131107491857,250.58855408627792,260.84044516829533,13,Ts win,Team 2
87,254.12229026663778,164.4556460369164,185.02392694558856,380.1573561346363,13,Ts win,Team 2
88,123.84942011706048,213.5849619978285,252.0299154563191,163.60515743756787,13,Ts win,Team 2
89,460.0812784522003,271.53811074918565,458.3097360719705,750.3802685599892,14,CTs win,Team 1
90,640.2093065792326,404.7509771986971,518.1351377899415,469.32888165038,14,CTs win,Team 1
91,513.8387742521136,680.7586115635179,519.9986790049859,476.54837133550484,14,CTs win,Team 1
92,104.02468567092998,424.81805103148747,124.83270106221548,342.90694896851244,14,CTs win,Team 1
93,227.15150119228267,142.2613463626493,104.20236288749187,399.2100705754615,14,CTs win,Team 1
94,439.58350720789076,699.1607831161781,603.0051552677216,679.9411034201954,14,CTs win,Team 1
95,767.1457294602211,584.2145222584147,708.7859581617168,574.7383007600434,15,CTs win,Team 2
96,808.417407327119,656.6547299131379,730.3207646867548,546.283523344191,15,CTs win,Team 2
97,812.9198460871451,653.6612377850163,717.3614513331888,531.1661237785016,15,CTs win,Team 2
98,763.8261299588121,577.1136400651466,825.2912421417733,640.0272122692725,15,CTs win,Team 2
99,835.4364567526555,626.6609663409338,825.8957836548883,189.0120521172638,15,CTs win,Team 2
100,435.70381259484066,308.63070032573285,480.20686104487316,492.8355048859935,15,CTs win,Team 2
101,769.0282354216345,245.78903365906626,860.7702146108822,336.5905266015201,15,CTs win,Team 2
102,888.9629308476046,466.2425081433224,817.6037014957728,91.0753528773073,16,Ts win,Team 1
103,876.9769130717538,266.7084147665581,816.9572946022112,249.50244299674262,16,Ts win,Team 1
104,824.5578799046174,167.91650380021713,637.0356465423803,226.17931596091205,16,Ts win,Team 1
105,898.6621504443963,376.3478827361564,801.3354920875786,270.3377850162866,16,Ts win,Team 1
